model,target,pr_auc_mean,pr_auc_std,f1_mean,roc_auc_mean
majority_class,next_is_irregular,0.0909,,0.0,0.5
persistence_prev1_flag,next_is_irregular,0.616,,0.7708,0.8708
logistic_regression,next_is_irregular,0.77658,0.018,0.7183,0.94317
random_forest,next_is_irregular,0.87266,0.02337,0.79219,0.96897
xgboost,next_is_irregular,0.84228,0.0239,0.77739,0.95292
lightgbm,next_is_irregular,0.85117,0.02303,0.78153,0.95723
svc,next_is_irregular,0.81211,0.04107,0.77999,0.9579
knn,next_is_irregular,0.78186,0.04307,0.78033,0.91431
logistic_regression_tuned,next_is_irregular,0.77692,0.01809,0.71788,0.94322
random_forest_tuned,next_is_irregular,0.87767,0.02137,0.75029,0.9706
xgboost_tuned,next_is_irregular,0.86018,0.02993,0.71938,0.96489
lightgbm_tuned,next_is_irregular,0.86652,0.02383,0.78725,0.9633
svc_tuned,next_is_irregular,0.83361,0.01966,0.78167,0.95928
knn_tuned,next_is_irregular,0.86822,0.02924,0.78058,0.96122
