feature,mae_increase_when_permuted,std
avg_previous_cycle_length,1.076246284008026,0.018995908987729605
prev_cycle_1,0.7815441058158874,0.015323992558971074
prev_cycle_3,0.05044850320816037,0.003940812264781862
prev_cycle_2,0.004106494617462086,0.0014328850156414405
stress_level,0.0037024111747741006,0.001341500951275446
sleep_hours,0.002811083889007504,0.0006484736430628468
std_previous_cycle_length,0.0021830262184142635,0.0013118961679267416
avg_previous_period_length,3.473262786857223e-05,3.607250768685908e-05
prev_period_2,1.0466289520194571e-05,2.824603775020858e-05
menarche_age,0.0,0.0
prev_period_3,0.0,0.0
height_cm,0.0,0.0
prev_period_1,0.0,0.0
uses_medication_or_contraceptive,0.0,0.0
exercise_frequency,-5.7142257690490085e-06,1.1428451538098017e-05
age_years,-1.5258312225419068e-05,0.00015634240111643907
weight_kg,-3.1616592407268664e-05,1.7984375305849223e-05
bmi,-0.00019600925445564243,0.00010337629971583578
