model,fold,pr_auc,f1,roc_auc
logistic_regression,1,0.7500999491583167,0.6944908180300501,0.9278689437190343
logistic_regression,2,0.7972301585818976,0.7222222222222222,0.9556259316760581
logistic_regression,3,0.7860231787650658,0.7004909983633388,0.9413778599748873
logistic_regression,4,0.7687438529588847,0.7470288624787776,0.9359944527909395
logistic_regression,5,0.7807855293086484,0.7272727272727273,0.9549905620401401
random_forest,1,0.8352137271381421,0.7435387673956262,0.9657846799982681
random_forest,2,0.8827987047320192,0.7876447876447876,0.9729264988773496
random_forest,3,0.8650033533117937,0.7894736842105263,0.9604799252803533
random_forest,4,0.8879438167882032,0.82,0.9734265572633769
random_forest,5,0.8923587776541133,0.8203125,0.9722354482067876
xgboost,1,0.8028294478914677,0.746938775510204,0.93947121005004
xgboost,2,0.86085919680978,0.7895791583166333,0.9574289761305367
xgboost,3,0.8369520551957593,0.7764227642276422,0.9510603324034614
xgboost,4,0.857687898478072,0.7820773930753564,0.9592126044916984
xgboost,5,0.8530942834742473,0.7919191919191919,0.9574405793751685
lightgbm,1,0.813165867304109,0.750524109014675,0.9406912804399058
lightgbm,2,0.8705357618933719,0.7935222672064778,0.9645452802296021
lightgbm,3,0.8505293706630733,0.7991543340380549,0.9550104842550612
lightgbm,4,0.8531786144701101,0.7644628099173554,0.9610246927847761
lightgbm,5,0.8684403391681346,0.8,0.9648738395161601
svc,1,0.743575822923424,0.7418032786885246,0.9453751755107596
svc,2,0.8118537118029877,0.7905138339920948,0.9586645100234428
svc,3,0.8267792563599619,0.768595041322314,0.9565506491578576
svc,4,0.8255848538506197,0.7942386831275721,0.9617227165915482
svc,5,0.8527567886368429,0.8047808764940239,0.9671944219731115
knn,1,0.7097094486332356,0.7405764966740577,0.8798130153212388
knn,2,0.8079971853908791,0.7958333333333333,0.9265390824575835
knn,3,0.780267309339282,0.7698924731182796,0.9123057010843009
knn,4,0.791617291419912,0.7750556792873051,0.9275588427905543
knn,5,0.8197014127565831,0.8202959830866807,0.9253407296120806
