model,target,mae_mean,rmse_mean,r2_mean
baseline_mean,next_cycle_length,2.7447,3.8407,-0.0008
baseline_persistence,next_cycle_length,1.3023,1.987,0.7319
baseline_mean,next_period_length,1.0302,1.2791,-0.0004
baseline_persistence,next_period_length,0.6332,0.8913,0.5142
ridge,next_cycle_length,1.22345,1.78799,0.7829
random_forest,next_cycle_length,1.21759,1.77032,0.78722
xgboost,next_cycle_length,1.33991,1.90969,0.75246
lightgbm,next_cycle_length,1.26114,1.83171,0.77207
svr,next_cycle_length,1.24341,1.79129,0.78208
knn,next_cycle_length,1.3645,1.933,0.7463
ridge,next_period_length,0.5746,0.7221,0.68107
random_forest,next_period_length,0.57951,0.72699,0.67675
xgboost,next_period_length,0.64317,0.80593,0.60269
lightgbm,next_period_length,0.60056,0.75362,0.65265
svr,next_period_length,0.59112,0.74571,0.65994
knn,next_period_length,0.61701,0.77956,0.62833
ridge_tuned,next_cycle_length,1.22316,1.78756,0.78301
random_forest_tuned,next_cycle_length,1.1916,1.73416,0.79573
xgboost_tuned,next_cycle_length,1.20509,1.75389,0.79109
lightgbm_tuned,next_cycle_length,1.21017,1.76233,0.78908
svr_tuned,next_cycle_length,1.23922,1.78624,0.78329
knn_tuned,next_cycle_length,1.2776,1.82624,0.77347
ridge_tuned,next_period_length,0.57432,0.72156,0.68156
random_forest_tuned,next_period_length,0.57132,0.72032,0.68268
xgboost_tuned,next_period_length,0.57774,0.72672,0.677
lightgbm_tuned,next_period_length,0.57675,0.72572,0.67789
svr_tuned,next_period_length,0.58566,0.73868,0.66631
knn_tuned,next_period_length,0.58447,0.73368,0.67082
