model,target,fold,mae,rmse,r2
ridge,next_cycle_length,1,1.2420636927131092,1.830667999788659,0.7804075941658366
ridge,next_cycle_length,2,1.2489605325951862,1.8130601696860957,0.7773708060016928
ridge,next_cycle_length,3,1.213169716264854,1.8091101088458448,0.7678259490245979
ridge,next_cycle_length,4,1.1881834719999724,1.704383540797692,0.8010738748976745
ridge,next_cycle_length,5,1.2248811840813505,1.7827369428266127,0.7878250015354985
random_forest,next_cycle_length,1,1.2279964285714287,1.7795300465313693,0.7925044500114853
random_forest,next_cycle_length,2,1.2351119047619048,1.7805222570741732,0.7852898905339827
random_forest,next_cycle_length,3,1.2164714285714284,1.780918658962635,0.775005528695186
random_forest,next_cycle_length,4,1.1803392857142858,1.7084299496488415,0.8001282051920346
random_forest,next_cycle_length,5,1.2280309523809523,1.8021883919279915,0.7831696577818525
xgboost,next_cycle_length,1,1.3385323286056519,1.9172488102518117,0.7591453194618225
xgboost,next_cycle_length,2,1.35590398311615,1.9118668399473289,0.7524442672729492
xgboost,next_cycle_length,3,1.32575261592865,1.905147859236865,0.7425214052200317
xgboost,next_cycle_length,4,1.3258880376815796,1.868288553479984,0.7609740495681763
xgboost,next_cycle_length,5,1.3534959554672241,1.945888204297844,0.7472125887870789
lightgbm,next_cycle_length,1,1.2539576494851963,1.825375190750361,0.7816755253387782
lightgbm,next_cycle_length,2,1.2915219512992269,1.832488474267488,0.7725739632637257
lightgbm,next_cycle_length,3,1.2739321047274803,1.8758719174847778,0.7503738710061563
lightgbm,next_cycle_length,4,1.230068519978663,1.763337507844531,0.7870743161026776
lightgbm,next_cycle_length,5,1.25620998940759,1.8614856484868176,0.7686662149569413
svr,next_cycle_length,1,1.2644851931794006,1.8305427455253134,0.7804376421527904
svr,next_cycle_length,2,1.2638978856734784,1.799415714691642,0.7807090557841811
svr,next_cycle_length,3,1.2362153346221014,1.8161778698431423,0.7660083083014452
svr,next_cycle_length,4,1.1972433938775409,1.6922952191905374,0.8038856309667768
svr,next_cycle_length,5,1.2552311378970538,1.818022748893307,0.7793426970053443
knn,next_cycle_length,1,1.3695714285714284,1.9475259030003023,0.7514781247219267
knn,next_cycle_length,2,1.3799285714285714,1.9469279831130302,0.7432813299769168
knn,next_cycle_length,3,1.3575,1.9388545955943015,0.7333300011412637
knn,next_cycle_length,4,1.3279285714285713,1.8479602654973788,0.7661472843213866
knn,next_cycle_length,5,1.3875714285714285,1.9837266516764422,0.737285928235648
ridge,next_period_length,1,0.5715979192030488,0.72130102799609,0.6926957362743129
ridge,next_period_length,2,0.5717028648380964,0.7152242919231435,0.6804485494707939
ridge,next_period_length,3,0.5645355230282972,0.7146556465165682,0.685505868521652
ridge,next_period_length,4,0.5821723406811782,0.7269985712650808,0.6802224159075954
ridge,next_period_length,5,0.5829926528495702,0.732333868413646,0.6664951222296589
random_forest,next_period_length,1,0.5784845238095238,0.7274618055756801,0.6874238223640738
random_forest,next_period_length,2,0.57195,0.7186212327718101,0.6774059370766425
random_forest,next_period_length,3,0.5663011904761905,0.7174683860077983,0.6830254267841183
random_forest,next_period_length,4,0.5899821428571429,0.733740630939887,0.6742637891943598
random_forest,next_period_length,5,0.5908369047619048,0.7376363177756281,0.6616481670095069
xgboost,next_period_length,1,0.6452116370201111,0.8053184924126614,0.616936445236206
xgboost,next_period_length,2,0.6398910284042358,0.8037001098051776,0.5964993238449097
xgboost,next_period_length,3,0.6262593865394592,0.7950984749293967,0.610721230506897
xgboost,next_period_length,4,0.6466612219810486,0.8056750857437177,0.6072639226913452
xgboost,next_period_length,5,0.657825767993927,0.8198644231738376,0.5820079445838928
lightgbm,next_period_length,1,0.6030442952456705,0.7529259909526278,0.6651578960610888
lightgbm,next_period_length,2,0.5953828856622432,0.7492290370203601,0.6493406032375109
lightgbm,next_period_length,3,0.5848570203524133,0.743267946414545,0.6598192805513603
lightgbm,next_period_length,4,0.6132665101660782,0.7633538807654449,0.6474402431168272
lightgbm,next_period_length,5,0.6062404741144961,0.7593058086764548,0.6414766913882224
svr,next_period_length,1,0.596910610005339,0.7515268389699583,0.6664012047005559
svr,next_period_length,2,0.5862400965532409,0.7398802061786222,0.6580370159350144
svr,next_period_length,3,0.5823670423700161,0.7391116542090731,0.663613167536127
svr,next_period_length,4,0.5951068354307864,0.7472012503703512,0.6622027712580226
svr,next_period_length,5,0.5949968595229453,0.7508147766273214,0.649450321016349
knn,next_period_length,1,0.6192142857142858,0.7822586346142633,0.6385599989030653
knn,next_period_length,2,0.6127857142857144,0.7783223716980736,0.6215789312650114
knn,next_period_length,3,0.6135,0.7804668932303096,0.6249165882292325
knn,next_period_length,4,0.615,0.7748732615264069,0.6367193613540942
knn,next_period_length,5,0.6245714285714287,0.7818659000840782,0.6198556885292361
